Regiao	Sexo	2003	2004	2005	2006	2007	2008	2009	2010	2011
Norte	Homens	30773	33064	32959	32997	33139	34425	35348	37246	37954
Norte	Mulheres	19020	20069	19842	19260	20393	21174	22024	22036	23590
Nordeste	Homens	140072	142017	140376	144485	147141	153967	155466	158003	166056
Nordeste	Mulheres	100984	102494	101865	103521	104834	109183	111660	111284	118277
Sudeste	Homens	281286	282517	274989	280876	278989	282893	286634	296218	298244
Sudeste	Mulheres	202265	205253	203038	212419	214428	218628	224802	235513	239950
Sul	Homens	91529	93941	92108	93853	96738	97052	99903	101369	103912
Sul	Mulheres	66200	68341	67624	70050	72362	72283	74964	78074	80560
Centro-Oeste	Homens	35608	37624	37148	38125	39153	40721	41519	43786	44846
Centro-Oeste	Mulheres	22308	23897	23413	24450	25192	25907	26774	28494	28967
