Estes dados são referentes ao estudo de comparação de
40 caprinos divididos em dois grupos para comparação
dos pesos antes e depois de uma dieta 



Individuo	Subamostra	PesoAntes	PesoDepois
1	0	33	40
2	0	45	43
3	0	56	67
4	0	38	46
5	0	47	56
6	0	21	25
7	0	29	35
8	0	55	66
9	0	42	50
10	0	33	40
11	0	51	38
12	0	55	66
13	0	56	67
14	0	38	46
15	0	47	40
16	0	21	25
17	0	29	35
18	0	55	66
19	0	33	40
20	0	22	26
21	1	55	56
22	1	21	19
23	1	22	25
24	1	29	27
25	1	29	30
26	1	33	31
27	1	33	36
28	1	33	31
29	1	38	39
30	1	38	36
31	1	42	45
32	1	45	43
33	1	48	49
34	1	47	45
35	1	51	54
36	1	55	53
37	1	55	59
38	1	55	50
39	1	56	61
40	1	56	54
